Setpoint,Reactor Temperature,Jacket Temperature,Action
50.48327848,60.9019,49.1305,[0.25]
50.49959746,60.951,49.163,[0.25]
50.51589484,61.0,49.1954,[0.25]
50.53217069,61.049,49.2277,[0.25]
50.54842508,61.0979,49.26,[0.25]
50.5646581,61.1467,49.2922,[0.25]
50.5808698,61.1954,49.3244,[0.25]
50.59706026,61.244,49.3565,[0.25]
50.61322957,61.2925,49.3886,[0.25]
50.62937778,61.341,49.4206,[0.25]
50.64550497,61.3894,49.4526,[0.25]
50.66161121,61.4377,49.4845,[0.25]
50.67769657,61.4859,49.5164,[0.25]
50.69376113,61.534,49.5482,[0.25]
50.70980495,61.582,49.5799,[0.25]
50.72582811,61.63,49.6116,[0.25]
50.74183067,61.6779,49.6432,[0.25]
50.75781271,61.7257,49.6748,[0.25]
50.7737743,61.7734,49.7063,[0.25]
50.7897155,61.821,49.7378,[0.25]
50.80563638,61.8686,49.7692,[0.25]
50.82153702,61.9161,49.8006,[0.25]
50.83741748,61.9635,49.8319,[0.25]
50.85327784,62.0108,49.8632,[0.25]
50.86911815,62.058,49.8944,[0.25]
50.88493849,62.1052,49.9256,[0.25]
50.90073893,62.1523,49.9567,[0.25]
50.91651953,62.1993,49.9877,[0.25]
50.93228036,62.2462,50.0187,[0.25]
50.94802148,62.293,50.0497,[0.25]
50.96374298,62.3398,50.0806,[0.25]
50.9794449,62.3865,50.1114,[0.25]
50.99512732,62.4331,50.1422,[0.25]
51.01079031,62.4796,50.1729,[0.25]
51.02643392,62.526,50.2036,[0.25]
51.04205824,62.5724,50.2342,[0.25]
51.05766331,62.6187,50.2648,[0.25]
51.07324921,62.6649,50.2953,[0.25]
51.088816,62.711,50.3258,[0.25]
51.10436374,62.757,50.3562,[0.25]
51.11989251,62.803,50.3866,[0.25]
51.13540236,62.8489,50.4169,[0.25]
51.15089336,62.8947,50.4472,[0.25]
51.16636557,62.9404,50.4774,[0.25]
51.18181906,62.986,50.5076,[0.25]
51.19725389,63.0316,50.5377,[0.25]
51.21267012,63.0771,50.5677,[0.25]
51.22806782,63.1225,50.5977,[0.25]
51.24344704,63.1678,50.6277,[0.25]
51.25880786,63.213,50.6576,[0.25]
51.27415032,63.2582,50.6874,[0.25]
51.2894745,63.3033,50.7172,[0.25]
51.30478046,63.3483,50.7469,[0.25]
51.32006826,63.3932,50.7766,[0.25]
51.33533795,63.438,50.8062,[0.25]
51.3505896,63.4828,50.8358,[0.25]
51.36582328,63.5275,50.8653,[0.25]
51.38103903,63.5721,50.8948,[0.25]
51.39623693,63.6166,50.9242,[0.25]
51.41141703,63.6611,50.9536,[0.25]
51.42657939,63.7055,50.9829,[0.25]
51.44172407,63.7498,51.0122,[0.25]
51.45685113,63.794,51.0414,[0.25]
51.47196063,63.8381,51.0706,[0.25]
51.48705263,63.8822,51.0997,[0.25]
51.50212718,63.9262,51.1288,[0.25]
51.51718436,63.9701,51.1578,[0.25]
51.5322242,64.0139,51.1868,[0.25]
51.54724678,64.0577,51.2157,[0.25]
51.56225215,64.1014,51.2446,[0.25]
51.57724037,64.145,51.2734,[0.25]
51.59221149,64.1885,51.3022,[0.25]
51.60716557,64.2319,51.3309,[0.25]
51.62210267,64.2753,51.3596,[0.25]
51.63702285,64.3186,51.3882,[0.25]
51.65192616,64.3618,51.4168,[0.25]
51.66681267,64.4049,51.4453,[0.25]
51.68168241,64.448,51.4737,[0.25]
51.69653546,64.491,51.5021,[0.25]
51.71137186,64.5339,51.5305,[0.25]
51.72619168,64.5767,51.5588,[0.25]
51.74099496,64.6195,51.587,[0.25]
51.75578176,64.6622,51.6152,[0.25]
51.77055214,64.7048,51.6434,[0.25]
51.78530616,64.7473,51.6715,[0.25]
51.80004386,64.7898,51.6996,[0.25]
51.8147653,64.8322,51.7276,[0.25]
51.82947053,64.8745,51.7556,[0.25]
51.84415961,64.9167,51.7835,[0.25]
51.8588326,64.9588,51.8113,[0.25]
51.87348954,65.0009,51.8391,[0.25]
51.88813048,65.0429,51.8669,[0.25]
51.90275549,65.0848,51.8946,[0.25]
51.91736461,65.1266,51.9222,[0.25]
51.9319579,65.1684,51.9498,[0.25]
51.9465354,65.2101,51.9774,[0.25]
51.96109718,65.2517,52.0049,[0.25]
51.97564328,65.2932,52.0324,[0.25]
51.99017375,65.3347,52.0598,[0.25]
52.00468865,65.3761,52.0871,[0.25]
52.01918803,65.4174,52.1144,[0.25]
52.03367193,65.4586,52.1417,[0.25]
52.04814041,65.4998,52.1689,[0.25]
52.06259352,65.5409,52.1961,[0.25]
52.07703131,65.5819,52.2232,[0.25]
52.09145383,65.6229,52.2502,[0.25]
52.10586113,65.6638,52.2772,[0.25]
